754,2,Wagon,\N
754,4,5,\N
754,6,1695,mm
754,5,4350,mm
754,7,1530,mm
754,8,2550,mm
754,9,1465,mm
754,10,1455,mm
754,38,160,mm
754,12,Gasoline,\N
754,13,1496,cm3
754,14,110,bhp
754,15,to 5 800,RPM
754,16,143,Nm
754,17,Multi-point fuel injection,\N
754,19,Inline,\N
754,20,4,\N
754,39,4,\N
754,22,95 RON,\N
754,41,Independent\, MacPherson Struts,\N
754,42,Torsion beam,\N
754,24,Continuously variable transmission (CVT),\N
754,27,Front wheel drive,\N
754,29,ventilated disc,\N
754,30,drum,\N
754,34,1160,kg
754,35,42,litre
754,1564,to 4 800,RPM
754,47,73,mm
754,48,89.4,mm
754,57,10.2,m
754,7,1545,mm
754,42,De-Dion,\N
754,27,All wheel drive (AWD),\N
754,34,1230,kg
754,57,10.4,m
765,47,73,mm
765,48,89.4,mm
765,26,6,\N
765,57,10.8,m
765,2,Coupe,\N
765,4,4,\N
765,6,1740,mm
765,5,4080,mm
765,7,1395,mm
765,8,2425,mm
765,9,1515,mm
765,45,385,litre
765,10,1500,mm
765,38,150,mm
765,44,583,litre
765,12,Hybrid,\N
765,13,1497,cm3
765,14,114,bhp
765,15,to 6 100,RPM
765,16,174,N*m
765,17,Multi-point fuel injection,\N
765,19,Inline,\N
765,20,4,\N
765,39,4,\N
765,22,95 RON,\N
765,41,MacPherson Struts\, Stabilizer bar,\N
765,42,Torsion\, Stabilizer bar,\N
765,24,Manual,\N
765,27,Front wheel drive,\N
765,29,ventilated disc,\N
765,30,Disc,\N
765,32,200,km/h
765,33,10.1,second
765,50,6.1,litre
765,51,4.4,litre
765,52,5,litre
765,34,1160,kg
765,58,1520,kg
765,35,40,litre
765,62,from 660 to 910,km
765,37,EURO V,\N
765,1564,to 4 800,RPM
765,1565,360,kg
766,47,81,mm
766,48,87.3,mm
766,2,Crossover,\N
766,4,7,\N
766,6,1775,mm
766,5,4285,mm
766,7,1669,mm
766,8,2700,mm
766,9,1515,mm
766,10,1505,mm
766,38,185,mm
766,12,Gasoline,\N
766,13,1799,cm3
766,14,140,bhp
766,15,to 6 300,RPM
766,16,174,Nm
766,17,Multi-point fuel injection,\N
766,19,Inline,\N
766,20,4,\N
766,39,4,\N
766,22,95 RON,\N
766,41,MacPherson Struts,\N
766,24,Automatic,\N
766,27,Front wheel drive,\N
766,29,ventilated disc,\N
766,57,10.6,m
766,32,175,km/h
766,52,8.6,litre
766,35,55,litre
766,50,9.2,litre
766,51,6.6,litre
766,62,from 600 to 830,km
766,33,12,second
766,1564,to 4 300,RPM
766,26,5,\N
766,34,1410,kg
766,42,Double wishbone,\N
766,30,Disc,\N
766,27,All wheel drive (AWD),\N
766,34,1480,kg
766,35,50,litre
766,50,9.9,litre
766,51,6.9,litre
766,52,9.1,litre
766,62,from 510 to 720,km
766,32,173,km/h
766,33,13.6,second
766,48,96.9,mm
766,7,1670,mm
766,13,1997,cm3
766,14,150,bhp
766,15,to 6 200,RPM
766,16,190,Nm
766,34,1430,kg
766,50,10.1,litre
766,51,6.8,litre
766,62,from 540 to 810,km
766,33,10.8,second
766,1564,to 4 200,RPM
766,34,1500,kg
766,50,10.9,litre
766,51,7.3,litre
766,52,9.8,litre
766,62,from 460 to 680,km
766,32,169,km/h
766,33,12.2,second
769,47,86,mm
769,48,86,mm
769,2,Minivan,\N
769,4,6,\N
769,6,1795,mm
769,5,4285,mm
769,7,1610,mm
769,8,2680,mm
769,9,1550,mm
769,10,1560,mm
769,38,155,mm
769,12,Gasoline,\N
769,13,1998,cm3
769,14,156,bhp
769,15,to 6 500,RPM
769,16,188,Nm
769,17,Multi-point fuel injection,\N
769,19,Inline,\N
769,20,4,\N
769,39,4,\N
769,22,95 RON,\N
769,41,MacPherson Struts,\N
769,42,Double wishbone,\N
769,24,Automatic,\N
769,27,Front wheel drive,\N
769,29,ventilated disc,\N
769,30,Disc,\N
769,34,1430,kg
769,35,58,litre
769,1564,to 4 000,RPM
769,26,5,\N
769,57,10.4,m
769,7,1635,mm
769,9,1545,mm
769,10,1550,mm
769,27,All wheel drive (AWD),\N
769,34,1480,kg
769,35,50,litre
769,26,4,\N
771,47,87,mm
771,48,99,mm
771,2,Minivan,\N
771,4,8,\N
771,6,1830,mm
771,5,4845,mm
771,7,1790,mm
771,8,2900,mm
771,9,1590,mm
771,10,1590,mm
771,38,150,mm
771,12,Gasoline,\N
771,13,2354,cm3
771,14,160,bhp
771,15,to 5 500,RPM
771,16,218,Nm
771,17,Multi-point fuel injection,\N
771,19,Inline,\N
771,20,4,\N
771,39,4,\N
771,22,95 RON,\N
771,41,Double wishbone,\N
771,42,Double wishbone,\N
771,24,Automatic,\N
771,27,Front wheel drive,\N
771,29,ventilated disc,\N
771,30,Disc,\N
771,34,1830,kg
771,35,70,litre
771,1564,to 4 500,RPM
771,26,5,\N
771,57,11.4,m
771,7,1810,mm
771,9,1585,mm
771,10,1585,mm
771,38,165,mm
771,27,All wheel drive (AWD),\N
771,34,1900,kg
773,47,73,mm
773,48,89.4,mm
773,2,Sedan,\N
773,4,5,\N
773,6,1690,mm
773,5,4390,mm
773,7,1485,mm
773,8,2540,mm
773,9,1445,mm
773,10,1455,mm
773,38,150,mm
773,12,Gasoline,\N
773,13,1496,cm3
773,14,110,bhp
773,15,to 5 800,RPM
773,16,143,Nm
773,17,Multi-point fuel injection,\N
773,19,Inline,\N
773,20,4,\N
773,39,4,\N
773,22,95 RON,\N
773,41,Independent\, MacPherson Struts,\N
773,42,Torsion beam\, spring,\N
773,24,Continuously variable transmission (CVT),\N
773,27,Front wheel drive,\N
773,29,ventilated disc,\N
773,30,drum,\N
773,57,9.4,m
773,34,1060,kg
773,35,42,litre
773,1564,to 4 800,RPM
773,7,1510,mm
773,42,De-Dion,\N
773,27,All wheel drive (AWD),\N
773,57,9.8,m
773,34,1130,kg
775,47,75,mm
775,48,94.4,mm
775,26,5,\N
775,2,Minivan,\N
775,4,6,\N
775,6,1810,mm
775,5,4285,mm
775,7,1610,mm
775,8,2685,mm
775,9,1555,mm
775,45,439,litre
